,Product Name,Brand,ID,Retail Price,Whole Sale,Supplier,Description
249,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",Ralph Knight,27555,6.74,1.72,Northwest Territories,Paper
250,Belkin 6 Outlet Metallic Surge Strip,Delfina Latchford,27680,10.89,4.5,Northwest Territories,Appliances
251,Xerox 21,Delfina Latchford,27680,6.48,6.6,Northwest Territories,Paper
252,GBC DocuBind TL200 Manual Binding Machine,Roy Skaria,27778,223.98,15.01,Northwest Territories,Binders and Binder Accessories
253,"Sauder Forest Hills Library, Woodland Oak Finish",Roy Skaria,27778,140.98,36.09,Northwest Territories,Bookcases
254,Xerox 1940,Monica Federle,27909,54.96,10.75,Northwest Territories,Paper
255,Bagged Rubber Bands,Monica Federle,27909,1.26,0.7,Northwest Territories,Rubber Bands
256,Xerox 1897,Charles McCrossin,28003,4.98,6.07,Northwest Territories,Paper
257,Poly Designer Cover & Back,Don Miller,28035,18.99,5.23,Northwest Territories,Binders and Binder Accessories
258,Bionaire Personal Warm Mist Humidifier/Vaporizer,Jeremy Lonsdale,28135,46.89,5.1,Northwest Territories,Appliances
259,"Acme® 8"" Straight Scissors",Jeremy Lonsdale,28135,12.98,3.14,Northwest Territories,"Scissors, Rulers and Trimmers"
260,Heavy-Duty E-Z-D® Binders,Grant Carroll,28165,10.91,2.99,Northwest Territories,Binders and Binder Accessories
261,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Carl Ludwig,28289,4.98,4.75,Northwest Territories,Paper
262,Deluxe Rollaway Locking File with Drawer,Carlos Daly,28486,415.88,11.37,Northwest Territories,Storage & Organization
263,252,Ralph Knight,28675,65.99,5.92,Northwest Territories,Telephones and Communication
264,6160,Cindy Schnelling,28870,115.99,2.5,Northwest Territories,Telephones and Communication
265,"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Claudia Miner,28871,5.02,5.14,Northwest Territories,Computer Peripherals
266,Prismacolor Color Pencil Set,Roy Skaria,29030,19.84,4.1,Northwest Territories,Pens & Art Supplies
267,Wilson Jones DublLock® D-Ring Binders,Delfina Latchford,29095,6.75,2.99,Northwest Territories,Binders and Binder Accessories
268,Binder Posts,Edward Hooks,29287,5.74,5.01,Northwest Territories,Binders and Binder Accessories
269,Epson LQ-570e Dot Matrix Printer,Edward Hooks,29287,270.97,28.06,Northwest Territories,Office Machines
270,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Don Miller,29510,260.98,41.91,Northwest Territories,Bookcases
271,Fellowes PB300 Plastic Comb Binding Machine,Grant Carroll,29795,387.99,19.99,Northwest Territories,Binders and Binder Accessories
272,Rush Hierlooms Collection Rich Wood Bookcases,Grant Carroll,29795,160.98,35.02,Northwest Territories,Bookcases
273,Avery 481,Brad Eason,29861,3.08,0.99,Northwest Territories,Labels
274,Sharp AL-1530CS Digital Copier,Charles McCrossin,30658,499.99,24.49,Northwest Territories,Copiers and Fax
275,"SAFCO Commercial Wire Shelving, Black",Charles McCrossin,30658,138.14,35,Northwest Territories,Storage & Organization
276,"Avery Trapezoid Extra Heavy Duty 4"" Binders",Charles McCrossin,30947,41.94,2.99,Northwest Territories,Binders and Binder Accessories
277,Self-Adhesive Address Labels for Typewriters by Universal,Charles McCrossin,30947,7.31,0.49,Northwest Territories,Labels
278,StarTAC Series,Bryan Mills,31077,65.99,3.9,Northwest Territories,Telephones and Communication
279,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Monica Federle,31111,7.64,5.83,Northwest Territories,Paper
280,Dana Halogen Swing-Arm Architect Lamp,Michelle Lonsdale,31169,40.97,14.45,Northwest Territories,Office Furnishings
281,Global Comet™ Stacking Armless Chair,Michelle Lonsdale,31270,299.05,87.01,Northwest Territories,Chairs & Chairmats
282,Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,Michelle Lonsdale,31270,291.73,48.8,Northwest Territories,Chairs & Chairmats
283,"Fellowes Internet Keyboard, Platinum",Michelle Lonsdale,31270,30.42,8.65,Northwest Territories,Computer Peripherals
284,Deluxe Rollaway Locking File with Drawer,Beth Thompson,31364,415.88,11.37,Northwest Territories,Storage & Organization
285,Luxo Economy Swing Arm Lamp,Cindy Schnelling,31393,19.94,14.87,Northwest Territories,Office Furnishings
286,"*Staples* vLetter Openers, 2/Pack",Cindy Schnelling,31393,3.68,1.32,Northwest Territories,"Scissors, Rulers and Trimmers"
287,Staples 6 Outlet Surge,Nicole Hansen,31492,11.97,4.98,Northwest Territories,Appliances
288,Acco Perma® 2700 Stacking Storage Drawers,Nicole Hansen,31492,29.74,6.64,Northwest Territories,Storage & Organization
289,Fellowes Stor/Drawer® Steel Plus™ Storage Drawers,Nicole Hansen,31492,95.43,19.99,Northwest Territories,Storage & Organization
290,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Cari Schnelling,31558,300.65,24.49,Northwest Territories,Appliances
291,"Verbatim DVD-RAM, 9.4GB, Rewritable, Type 1, DS, DataLife Plus",Cari Schnelling,31558,45.19,1.99,Northwest Territories,Computer Peripherals
292,Lock-Up Easel 'Spel-Binder',Roy Skaria,31618,28.53,1.49,Northwest Territories,Binders and Binder Accessories
293,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",Susan Vittorini,31684,5.68,1.46,Northwest Territories,Paper
294,"Tenex File Box, Personal Filing Tote with Lid, Black",Susan Vittorini,31684,15.51,17.78,Northwest Territories,Storage & Organization
295,Fellowes Black Plastic Comb Bindings,Sylvia Foulston,31781,5.81,8.49,Northwest Territories,Binders and Binder Accessories
296,Assorted Color Push Pins,Sylvia Foulston,31781,1.81,0.75,Northwest Territories,Rubber Bands
297,HP Office Paper (20Lb. and 87 Bright),Chad Cunningham,32193,6.68,6.93,Northwest Territories,Paper
298,Staples Vinyl Coated Paper Clips,Chad Cunningham,32193,3.93,0.99,Northwest Territories,Rubber Bands
299,Canon MP41DH Printing Calculator,Carlos Daly,32229,150.98,13.99,Northwest Territories,Office Machines
300,Newell 310,Carlos Daly,32229,1.76,0.7,Northwest Territories,Pens & Art Supplies
301,Kensington 7 Outlet MasterPiece Power Center,Grant Carroll,32743,177.98,0.99,Northwest Territories,Appliances
302,"DAX Metal Frame, Desktop, Stepped-Edge",Julia West,32806,20.24,8.99,Northwest Territories,Office Furnishings
303,Bush Mission Pointe Library,Roy Skaria,33123,150.98,66.27,Northwest Territories,Bookcases
304,Accessory21,Cindy Schnelling,33159,20.99,0.99,Northwest Territories,Telephones and Communication
305,8860,Don Jones,33186,65.99,5.26,Northwest Territories,Telephones and Communication
306,Array® Memo Cubes,Beth Thompson,33377,5.18,2.04,Northwest Territories,Paper
307,"Fiskars 8"" Scissors, 2/Pack",Beth Thompson,33377,17.24,3.26,Northwest Territories,"Scissors, Rulers and Trimmers"
308,12 Colored Short Pencils,Alan Barnes,33444,2.6,2.4,Northwest Territories,Pens & Art Supplies
309,Pizazz® Global Quick File™,Alan Barnes,33444,14.97,7.51,Northwest Territories,Storage & Organization
310,Imation 5.2GB DVD-RAM,Carl Ludwig,33703,60.98,1.99,Northwest Territories,Computer Peripherals
311,Acco Perma® 2700 Stacking Storage Drawers,Carl Ludwig,33703,29.74,6.64,Northwest Territories,Storage & Organization
312,Portable Personal File Box,Carl Ludwig,33703,12.21,4.81,Northwest Territories,Storage & Organization
313,"Snap-A-Way® Black Print Carbonless Speed Message, No Reply Area, Duplicate",Jamie Kunitz,33734,29.14,4.86,Northwest Territories,Paper
314,Ibico Covers for Plastic or Wire Binding Elements,Heather Kirkland,33888,11.5,7.19,Northwest Territories,Binders and Binder Accessories
315,Hanging Personal Folder File,Heather Kirkland,33888,15.7,11.25,Northwest Territories,Storage & Organization
316,Tennsco Double-Tier Lockers,Heather Kirkland,33888,225.02,28.66,Northwest Territories,Storage & Organization
317,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",Doug Bickford,33894,9.27,4.39,Northwest Territories,Paper
318,"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",Doug Bickford,33894,6.84,8.37,Northwest Territories,"Scissors, Rulers and Trimmers"
319,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Doug Bickford,33894,4.98,4.62,Northwest Territories,Computer Peripherals
320,PC Concepts 116 Key Quantum 3000 Keyboard,Doug Bickford,33894,32.98,5.5,Northwest Territories,Computer Peripherals
321,Epson Stylus 1520 Color Inkjet Printer,Carlos Daly,33922,500.97,69.3,Northwest Territories,Office Machines
322,Avery 494,Toby Braunhardt,34177,2.61,0.5,Northwest Territories,Labels
323,Self-Adhesive Address Labels for Typewriters by Universal,Toby Braunhardt,34177,7.31,0.49,Northwest Territories,Labels
324,Accessory37,Toby Braunhardt,34177,20.99,2.5,Northwest Territories,Telephones and Communication
325,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Cari Schnelling,34215,5.34,2.99,Northwest Territories,Binders and Binder Accessories
326,Eureka Disposable Bags for Sanitaire® Vibra Groomer I® Upright Vac,Thomas Seio,34246,4.06,6.89,Northwest Territories,Appliances
327,AT&T 2230 Dual Handset Phone With Caller ID/Call Waiting,Thomas Seio,34246,99.99,19.99,Northwest Territories,Office Machines
328,"Peel & Seel® Recycled Catalog Envelopes, Brown",Thomas Seio,34246,11.58,6.97,Northwest Territories,Envelopes
329,Cardinal Poly Pocket Divider Pockets for Ring Binders,Brendan Dodson,34631,3.36,6.27,Northwest Territories,Binders and Binder Accessories
330,Canon PC1060 Personal Laser Copier,Brendan Dodson,34631,699.99,24.49,Northwest Territories,Copiers and Fax
331,Sterling Rubber Bands by Alliance,Charlotte Melton,35047,4.71,0.7,Northwest Territories,Rubber Bands
332,Newell 312,Beth Thompson,35266,5.84,1.2,Northwest Territories,Pens & Art Supplies
333,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Beth Thompson,35266,218.75,69.64,Northwest Territories,Tables
334,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 50/Pack",Eugene Barchas,35847,15.98,8.99,Northwest Territories,Computer Peripherals
335,"Avery Flip-Chart Easel Binder, Black",Michelle Lonsdale,36001,22.38,15.1,Northwest Territories,Binders and Binder Accessories
336,GBC Binding covers,Michelle Lonsdale,36001,12.95,4.98,Northwest Territories,Binders and Binder Accessories
337,R280,Grant Carroll,36134,155.99,8.99,Northwest Territories,Telephones and Communication
338,Accessory9,Beth Paige,36135,35.99,3.3,Northwest Territories,Telephones and Communication
339,U.S. Robotics 56K Internet Call Modem,Dorothy Wardle,36644,99.99,19.99,Northwest Territories,Computer Peripherals
340,Tennsco Industrial Shelving,Muhammed MacIntyre,36646,48.91,35,Northwest Territories,Storage & Organization
341,Staples Bulldog Clip,Charlotte Melton,36707,3.78,0.71,Northwest Territories,Rubber Bands
342,"Micro Innovations Micro 3000 Keyboard, Black",Muhammed MacIntyre,37253,26.31,5.89,Northwest Territories,Computer Peripherals
343,"Fellowes Basic 104-Key Keyboard, Platinum",Claudia Miner,37541,20.95,5.99,Northwest Territories,Computer Peripherals
344,Xerox 1882,Claudia Miner,37541,55.98,13.88,Northwest Territories,Paper
345,Carina Double Wide Media Storage Towers in Natural & Black,Claudia Miner,37541,80.98,35,Northwest Territories,Storage & Organization
346,Portable Personal File Box,Brendan Dodson,37634,12.21,4.81,Northwest Territories,Storage & Organization
347,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",Dorothy Wardle,37793,13.9,7.59,Northwest Territories,"Scissors, Rulers and Trimmers"
348,Eldon Cleatmat® Chair Mats for Medium Pile Carpets,Mike Pelletier,37860,55.5,52.2,Northwest Territories,Office Furnishings
349,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Edward Hooks,38884,5.28,5.66,Northwest Territories,Paper
350,Hon 94000 Series Round Tables,Edward Hooks,38884,296.18,54.12,Northwest Territories,Tables
351,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Jamie Kunitz,39364,92.23,39.61,Northwest Territories,Office Furnishings
352,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Jamie Kunitz,39364,1270.99,19.99,Northwest Territories,Binders and Binder Accessories
353,"Global High-Back Leather Tilter, Burgundy",Julia West,39457,122.99,70.2,Northwest Territories,Chairs & Chairmats
354,Poly Designer Cover & Back,Jeremy Lonsdale,39683,18.99,5.23,Northwest Territories,Binders and Binder Accessories
355,"Lifetime Advantage™ Folding Chairs, 4/Carton",Jeremy Lonsdale,39683,218.08,18.06,Northwest Territories,Chairs & Chairmats
356,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",Jeremy Lonsdale,39683,20.24,6.67,Northwest Territories,Office Furnishings
357,Stockwell Push Pins,Jeremy Lonsdale,39683,2.18,0.78,Northwest Territories,Rubber Bands
358,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Cindy Schnelling,39846,4.98,4.62,Northwest Territories,Computer Peripherals
359,8260,Heather Kirkland,40036,65.99,8.99,Northwest Territories,Telephones and Communication
360,3390,Alan Barnes,40067,65.99,5.31,Northwest Territories,Telephones and Communication
361,"Global Deluxe Stacking Chair, Gray",Hunter Glantz,40132,50.98,14.19,Northwest Territories,Chairs & Chairmats
362,Bevis 36 x 72 Conference Tables,Hunter Glantz,40132,124.49,51.94,Northwest Territories,Tables
363,"Avery Flip-Chart Easel Binder, Black",Hunter Glantz,40132,22.38,15.1,Northwest Territories,Binders and Binder Accessories
364,"Howard Miller 16"" Diameter Gallery Wall Clock",Julia West,40160,63.94,14.48,Northwest Territories,Office Furnishings
365,"ACCOHIDE® 3-Ring Binder, Blue, 1""",Carlos Daly,40518,4.13,5.04,Northwest Territories,Binders and Binder Accessories
366,"Global High-Back Leather Tilter, Burgundy",Barry French,40804,122.99,70.2,Northwest Territories,Chairs & Chairmats
367,"Wilson Jones Hanging View Binder, White, 1""",Susan Vittorini,40902,7.1,6.05,Northwest Territories,Binders and Binder Accessories
368,Boston 1730 StandUp Electric Pencil Sharpener,Carl Jackson,41063,21.38,8.99,Northwest Territories,Pens & Art Supplies
369,Accessory31,Carl Jackson,41063,35.99,0.99,Northwest Territories,Telephones and Communication
370,Accessory8,Carl Jackson,41063,85.99,1.25,Northwest Territories,Telephones and Communication
371,Fellowes 17-key keypad for PS/2 interface,Alan Barnes,41153,30.73,4,Northwest Territories,Computer Peripherals
372,Hanging Personal Folder File,Charlotte Melton,41184,15.7,11.25,Northwest Territories,Storage & Organization
373,Ibico Covers for Plastic or Wire Binding Elements,Beth Thompson,41409,11.5,7.19,Northwest Territories,Binders and Binder Accessories
374,Hoover Portapower™ Portable Vacuum,Bryan Mills,41696,4.48,49,Northwest Territories,Appliances
375,Fellowes Command Center 5-outlet power strip,Alan Barnes,42209,67.84,0.99,Northwest Territories,Appliances
376,SAFCO Arco Folding Chair,Alan Barnes,42209,276.2,24.49,Northwest Territories,Chairs & Chairmats
377,Accessory12,Beth Paige,42561,85.99,2.5,Northwest Territories,Telephones and Communication
378,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Mike Pelletier,42564,200.98,23.76,Northwest Territories,Chairs & Chairmats
379,3390,Delfina Latchford,42695,65.99,5.31,Northwest Territories,Telephones and Communication
380,GBC DocuBind TL300 Electric Binding System,Susan Vittorini,42981,896.99,19.99,Northwest Territories,Binders and Binder Accessories
381,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",Dorothy Wardle,43109,15.01,8.4,Northwest Territories,Binders and Binder Accessories
382,Microsoft Internet Keyboard,Dorothy Wardle,43109,20.97,6.5,Northwest Territories,Computer Peripherals
383,TDK 4.7GB DVD-R,Dorothy Wardle,43109,10.01,1.99,Northwest Territories,Computer Peripherals
384,Xerox 1977,Susan Vittorini,43203,6.68,5.2,Northwest Territories,Paper
385,DAX Solid Wood Frames,Jamie Kunitz,43236,9.77,6.02,Northwest Territories,Office Furnishings
386,Honeywell Enviracaire® Portable Air Cleaner for up to 8 x 10 Room,Fred Wasserman,43267,76.72,19.95,Northwest Territories,Appliances
387,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,Doug Bickford,43329,59.98,3.99,Northwest Territories,Appliances
388,8260,Fred Wasserman,43330,65.99,8.99,Northwest Territories,Telephones and Communication
389,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",Susan Vittorini,43364,23.99,6.71,Northwest Territories,Envelopes
390,Multimedia Mailers,Doug Bickford,43392,162.93,19.99,Northwest Territories,Envelopes
391,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",Claudia Miner,43781,10.94,1.39,Northwest Territories,Envelopes
392,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Claudia Miner,43781,40.98,2.99,Northwest Territories,Binders and Binder Accessories
393,"DXL™ Angle-View Binders with Locking Rings, Black",Frank Price,44071,5.99,4.92,Northwest Territories,Binders and Binder Accessories
394,8260,Frank Price,44071,65.99,8.99,Northwest Territories,Telephones and Communication
395,Newell® 3-Hole Punched Plastic Slotted Magazine Holders for Binders,Dorothy Wardle,44519,4.57,5.42,Northwest Territories,Binders and Binder Accessories
396,Laser & Ink Jet Business Envelopes,Dorothy Wardle,44519,10.67,1.39,Northwest Territories,Envelopes
397,Okidata ML390 Turbo Dot Matrix Printers,Dorothy Wardle,44519,442.14,14.7,Northwest Territories,Office Machines
398,"Eldon Regeneration Recycled Desk Accessories, Smoke",Allen Rosenblatt,44708,1.74,4.08,Northwest Territories,Office Furnishings
399,Accessory36,Dorothy Wardle,44772,55.99,5,Northwest Territories,Telephones and Communication
400,"Linden® 12"" Wall Clock With Oak Frame",Julia West,44839,33.98,19.99,Northwest Territories,Office Furnishings
401,2160i,Ralph Knight,45217,200.99,4.2,Northwest Territories,Telephones and Communication
402,Global Deluxe High-Back Office Chair in Storm,Michelle Lonsdale,45440,135.99,28.63,Northwest Territories,Chairs & Chairmats
403,"Howard Miller 16"" Diameter Gallery Wall Clock",Charlotte Melton,45766,63.94,14.48,Northwest Territories,Office Furnishings
404,Canon MP100DHII Printing Calculator,Charlotte Melton,45766,140.99,13.99,Northwest Territories,Office Machines
405,Accessory21,Allen Rosenblatt,45861,20.99,0.99,Northwest Territories,Telephones and Communication
406,Verbatim DVD-R 4.7GB authoring disc,Neola Schneider,45957,39.24,1.99,Northwest Territories,Computer Peripherals
407,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Neola Schneider,45957,7.64,5.83,Northwest Territories,Paper
408,"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro® Back, 8-1/2x11, 25/Bx",Joy Bell,46912,54.74,14.83,Northwest Territories,Office Furnishings
409,Avery 51,Monica Federle,46980,6.3,0.5,Northwest Territories,Labels
410,SANFORD Liquid Accent™ Tank-Style Highlighters,Jamie Kunitz,47460,2.84,0.93,Northwest Territories,Pens & Art Supplies
411,Avery Poly Binder Pockets,Susan Vittorini,47462,3.58,5.47,Northwest Territories,Binders and Binder Accessories
412,"Dixon My First Ticonderoga Pencil, #2",Susan Vittorini,47462,5.85,2.27,Northwest Territories,Pens & Art Supplies
413,Acco® Hot Clips™ Clips to Go,Susan Vittorini,47462,3.29,1.35,Northwest Territories,Rubber Bands
414,Fiskars® Softgrip Scissors,Charles McCrossin,47620,10.98,3.37,Northwest Territories,"Scissors, Rulers and Trimmers"
415,"Elite 5"" Scissors",Cari Schnelling,47749,8.45,7.77,Northwest Territories,"Scissors, Rulers and Trimmers"
416,Eldon Wave Desk Accessories,Doug Bickford,47873,5.89,5.57,Northwest Territories,Office Furnishings
417,Avery 478,Don Miller,47943,4.91,0.5,Northwest Territories,Labels
418,Boston 16701 Slimline Battery Pencil Sharpener,Don Miller,47943,15.94,5.45,Northwest Territories,Pens & Art Supplies
419,Xerox 1982,Fred Wasserman,48101,22.84,16.87,Northwest Territories,Paper
420,"Soundgear Copyboard Conference Phone, Optional Battery",Bryan Mills,48295,204.1,13.99,Northwest Territories,Office Machines
421,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",Carlos Daly,48839,98.31,0.49,Northwest Territories,Labels
422,Euro Pro Shark Stick Mini Vacuum,Joy Bell,49154,60.98,49,Northwest Territories,Appliances
423,Panasonic KX-P1150 Dot Matrix Printer,Claudia Miner,49921,145.45,17.85,Northwest Territories,Office Machines
424,Recycled Eldon Regeneration Jumbo File,Claudia Miner,49921,12.28,6.13,Northwest Territories,Storage & Organization
425,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Beth Thompson,49952,107.53,5.81,Northwest Territories,Office Furnishings
426,Avery 498,Allen Rosenblatt,50117,2.89,0.5,Northwest Territories,Labels
427,Premium Transparent Presentation Covers by GBC,Beth Thompson,50278,20.98,8.83,Northwest Territories,Binders and Binder Accessories
428,"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",Beth Thompson,50278,100.8,60,Northwest Territories,Tables
429,GBC VeloBinder Electric Binding Machine,Susan Vittorini,50374,120.98,9.07,Northwest Territories,Binders and Binder Accessories
430,Brown Kraft Recycled Envelopes,Sylvia Foulston,50565,16.98,12.39,Northwest Territories,Envelopes
431,"Acme® 8"" Straight Scissors",Joy Bell,50688,12.98,3.14,Northwest Territories,"Scissors, Rulers and Trimmers"
432,Bell Sonecor JB700 Caller ID,Becky Castell,50754,7.99,5.03,Northwest Territories,Telephones and Communication
433,A1228,Carlos Daly,50914,195.99,8.99,Northwest Territories,Telephones and Communication
434,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",Cari Schnelling,51169,136.98,24.49,Northwest Territories,Office Furnishings
435,8290,Jim Radford,51938,125.99,5.63,Northwest Territories,Telephones and Communication
436,Hewlett-Packard Deskjet 5550 Color Inkjet Printer,Allen Rosenblatt,51970,115.99,56.14,Northwest Territories,Office Machines
437,Fellowes Neat Ideas® Storage Cubes,Dorothy Badders,51971,32.48,35,Northwest Territories,Storage & Organization
438,"Lesro Round Back Collection Coffee Table, End Table",Dorothy Badders,51971,182.55,69,Northwest Territories,Tables
439,Avery 492,Mike Pelletier,52193,2.88,0.5,Northwest Territories,Labels
440,Newell 343,Mike Pelletier,52193,2.94,0.96,Northwest Territories,Pens & Art Supplies
441,Recycled Eldon Regeneration Jumbo File,Doug Bickford,52321,12.28,6.13,Northwest Territories,Storage & Organization
442,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",Doug Bickford,52321,349.45,60,Northwest Territories,Tables
443,Canon S750 Color Inkjet Printer,Susan Vittorini,52386,120.97,26.3,Northwest Territories,Office Machines
444,Panasonic KP-310 Heavy-Duty Electric Pencil Sharpener,Andrew Gjertsen,52807,21.98,2.87,Northwest Territories,Pens & Art Supplies
445,"AT&T Black Trimline Phone, Model 210",Muhammed MacIntyre,52929,15.99,9.4,Northwest Territories,Office Machines
446,Newell 318,Muhammed MacIntyre,52929,2.78,1.25,Northwest Territories,Pens & Art Supplies
447,"Staples Pen Style Liquid Stix; Assorted (yellow, pink, green, blue, orange), 5/Pack",Muhammed MacIntyre,52929,6.47,1.22,Northwest Territories,Pens & Art Supplies
448,Staples Vinyl Coated Paper Clips,Muhammed MacIntyre,52929,3.93,0.99,Northwest Territories,Rubber Bands
449,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",Jim Radford,52964,136.98,24.49,Northwest Territories,Office Furnishings
450,Avery 491,Bryan Davis,53156,4.13,0.99,Northwest Territories,Labels
451,Fellowes Black Plastic Comb Bindings,Anthony Johnson,53511,5.81,8.49,Northwest Territories,Binders and Binder Accessories
452,"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",Anthony Johnson,53511,9.65,6.22,Northwest Territories,Office Furnishings
453,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Doug Bickford,53797,58.14,36.61,Northwest Territories,Bookcases
454,T18,Carlos Daly,53990,110.99,2.5,Northwest Territories,Telephones and Communication
455,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Don Miller,54083,279.81,23.19,Northwest Territories,Appliances
456,Honeywell Quietcare HEPA Air Cleaner,Don Jones,54274,78.65,13.99,Northwest Territories,Appliances
457,Staples Colored Bar Computer Paper,Chad Cunningham,54276,35.44,4.92,Northwest Territories,Paper
458,Boston 16765 Mini Stand Up Battery Pencil Sharpener,Ralph Arnett,54528,11.66,8.99,Northwest Territories,Pens & Art Supplies
459,Staples Battery-Operated Desktop Pencil Sharpener,Ralph Arnett,54528,10.48,2.89,Northwest Territories,Pens & Art Supplies
460,Eldon® 200 Class™ Desk Accessories,Nicole Hansen,54567,6.28,5.41,Northwest Territories,Office Furnishings
461,"Memorex 80 Minute CD-R, 30/Pack",Fred Wasserman,54628,22.98,1.99,Northwest Territories,Computer Peripherals
462,"Global Leather and Oak Executive Chair, Black",Bryan Mills,55298,300.98,64.73,Northwest Territories,Chairs & Chairmats
463,"Dual Level, Single-Width Filing Carts",Ralph Arnett,55363,155.06,7.07,Northwest Territories,Storage & Organization
464,"Fellowes Smart Design 104-Key Enhanced Keyboard, PS/2 Adapter, Platinum",Doug Bickford,55366,55.94,6.55,Northwest Territories,Computer Peripherals
465,"Wilson Jones 1"" Hanging DublLock® Ring Binders",Eugene Barchas,55715,5.28,2.99,Northwest Territories,Binders and Binder Accessories
466,"Master Giant Foot® Doorstop, Safety Yellow",Brad Eason,55875,7.59,4,Northwest Territories,Office Furnishings
467,"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Brad Eason,55875,5.98,4.69,Northwest Territories,Storage & Organization
468,Epson DFX-8500 Dot Matrix Printer,Dorothy Wardle,56453,2550.14,29.7,Northwest Territories,Office Machines
469,Xerox 194,Ralph Knight,57127,55.48,14.3,Northwest Territories,Paper
470,SouthWestern Bell FA970 Digital Answering Machine with Time/Day Stamp,Sylvia Foulston,57344,28.99,8.59,Northwest Territories,Telephones and Communication
471,Avery 493,Neola Schneider,57509,4.91,0.5,Northwest Territories,Labels
472,"Bevis Round Bullnose 29"" High Table Top",Neola Schneider,57509,259.71,66.67,Northwest Territories,Tables
473,GBC Recycled Regency Composition Covers,Grant Carroll,57600,59.78,10.29,Northwest Territories,Binders and Binder Accessories
474,Avery 506,Grant Carroll,57600,4.13,0.5,Prince Edward Island,Labels
475,Xerox 197,Grant Carroll,57600,30.98,17.08,Prince Edward Island,Paper
476,"Eldon® Expressions™ Wood Desk Accessories, Oak",Julia West,58055,7.38,5.21,Prince Edward Island,Office Furnishings
477,Xerox 1935,Muhammed MacIntyre,58144,26.38,5.86,Prince Edward Island,Paper
478,Peel & Stick Add-On Corner Pockets,Susan Vittorini,58150,2.16,6.05,Prince Edward Island,Binders and Binder Accessories
479,Eureka The Boss® Cordless Rechargeable Stick Vac,Sylvia Foulston,58340,50.98,13.66,Prince Edward Island,Appliances
480,Eldon® Wave Desk Accessories,Doug Bickford,58368,2.08,5.33,Prince Edward Island,Office Furnishings
481,Xerox 1905,Doug Bickford,58368,6.48,9.54,Prince Edward Island,Paper
482,Fellowes Bankers Box™ Staxonsteel® Drawer File/Stacking System,Doug Bickford,58368,64.98,6.88,Prince Edward Island,Storage & Organization
483,"Executive Impressions 13"" Clairmont Wall Clock",Dorothy Badders,58434,19.23,6.15,Prince Edward Island,Office Furnishings
484,"Global Leather and Oak Executive Chair, Black",Henry Goldwyn,58626,300.98,64.73,Prince Edward Island,Chairs & Chairmats
485,Global Troy™ Executive Leather Low-Back Tilter,Henry Goldwyn,58626,500.98,26,Prince Edward Island,Chairs & Chairmats
